,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
104,ADA,4/19/2017,cardano,0,-0.111448,0,0.94368,0.05632
105,LTC,4/19/2017,litecoin,10.29,-0.044916,0.0404,0.90664,0.05296
106,XLM,4/19/2017,stellar,0.003534,0.140752,0.05812,0.9388,0.00308
107,NEO,4/19/2017,neo,0.1956,-0.050012,0.03264,0.93144,0.03592
108,EOS,4/19/2017,eos,0,-0.040376,0.05828,0.85356,0.08816
109,XEM,4/19/2017,nem,0.03244,-0.012624,0.00736,0.98376,0.00888
110,BTC,4/20/2017,bitcoin,1238.09,0.012596,0.0606,0.87972,0.0596
111,ETH,4/20/2017,ethereum,49.36,0.132516,0.07584,0.90828,0.01588
112,XRP,4/20/2017,ripple,0.02999,-0.079176,0.06852,0.83432,0.09716
113,BCH,4/20/2017,bitcoin cash,0,0.085856,0.078,0.88576,0.03624
114,ADA,4/20/2017,cardano,0,0.023972,0.02092,0.9674,0.01164
115,LTC,4/20/2017,litecoin,10.97,0.176568,0.11072,0.86728,0.02196
116,XLM,4/20/2017,stellar,0.003455,0.369884,0.16528,0.81664,0.01808
117,NEO,4/20/2017,neo,0.1845,0.041512,0.03092,0.9578,0.01128
118,EOS,4/20/2017,eos,0,-0.03476,0.04696,0.82492,0.12808
119,XEM,4/20/2017,nem,0.02874,-0.032908,0,0.98936,0.01064
120,BTC,4/21/2017,bitcoin,1249.64,0.266,0.15604,0.8258,0.01816
121,ETH,4/21/2017,ethereum,48.27,0.158068,0.08256,0.91744,0
122,XRP,4/21/2017,ripple,0.03355,0.17356,0.10452,0.84484,0.05064
123,BCH,4/21/2017,bitcoin cash,0,0.277888,0.12392,0.8582,0.01788
124,ADA,4/21/2017,cardano,0,0.015276,0.04376,0.94248,0.01376
125,LTC,4/21/2017,litecoin,12,0.116716,0.08592,0.8878,0.02628
126,XLM,4/21/2017,stellar,0.003453,0.12734,0.07828,0.90404,0.01772
127,NEO,4/21/2017,neo,0.1874,0.126628,0.12832,0.8488,0.02284
128,EOS,4/21/2017,eos,0,0.120484,0.05784,0.92248,0.01968
129,XEM,4/21/2017,nem,0.03342,-0.02844,0.0128,0.94444,0.04276
130,BTC,4/22/2017,bitcoin,1240.89,0.013396,0.07484,0.87032,0.05484
